,(device=sda)disk.io.await,(device=sda)disk.io.msec_read_Diff,(device=sda)disk.io.msec_total_Diff,(device=sda)disk.io.msec_weighted_total_Diff,(device=sda)disk.io.msec_write_Diff,(device=sda)disk.io.read,(device=sda)disk.io.read_bytes_Diff,(device=sda)disk.io.read_merged_Diff,(device=sda)disk.io.read_requests_Diff,(device=sda)disk.io.read_sectors_Diff,(device=sda)disk.io.svctm,(device=sda)disk.io.util,(device=sda)disk.io.w_wait,(device=sda)disk.io.write,(device=sda)disk.io.write_bytes_Diff,(device=sda)disk.io.write_merged_Diff,(device=sda)disk.io.write_requests_Diff,(device=sda)disk.io.write_sectors_Diff,(device=sdb)disk.io.await,(device=sdb)disk.io.msec_read_Diff,(device=sdb)disk.io.msec_total_Diff,(device=sdb)disk.io.msec_weighted_total_Diff,(device=sdb)disk.io.msec_write_Diff,(device=sdb)disk.io.read,(device=sdb)disk.io.read_bytes_Diff,(device=sdb)disk.io.read_merged_Diff,(device=sdb)disk.io.read_requests_Diff,(device=sdb)disk.io.read_sectors_Diff,(device=sdb)disk.io.svctm,(device=sdb)disk.io.util,(device=sdb)disk.io.w_wait,(device=sdb)disk.io.write,(device=sdb)disk.io.write_bytes_Diff,(device=sdb)disk.io.write_merged_Diff,(device=sdb)disk.io.write_requests_Diff,(device=sdb)disk.io.write_sectors_Diff,(iface=eth0)inDropped,(iface=eth0)inMulticast,(iface=eth0)inPackets,(iface=eth0)inPercent,(iface=eth0)outPackets,(iface=eth0)outPercent,(iface=eth0)totalBytes,(iface=eth0)totalDropped,(iface=eth0)totalPackets,(mount=/)df.bytes.free,(mount=/)df.bytes.free.percent,(mount=/)df.inodes.free,(mount=/)df.statistics.total,(mount=/)df.statistics.used,(mount=/)df.statistics.used.percent,(mount=/data00)df.bytes.free,(mount=/data00)df.bytes.free.percent,(mount=/data00)df.inodes.free,(mount=/data00)df.inodes.free.percent,(mount=/data00)df.statistics.total,(mount=/data00)df.statistics.used,(mount=/data00)df.statistics.used.percent,busy,iowait,kernelFilesAllocated,load1,load5,mem.dirty,mem.memfree,mem.writeback,memAvailablePercent,memBuffers,memCached,memShmem,memSwapFreePercent,memSwapUsedPercent,memUsedPercent,nice,retrans,softirq,ssClosed,ssEstab,ssOrphaned,ssTimeWait,switches,sys.proc.all,sys.proc.blocked,sys.proc.processes,sys.proc.running,system,tcpAbortOnTimeout,tcpDelayedACKLocked,tcpListenDrops,tcpListenOverflows,tcpLostRetransmit,tcpPkgInsegs,tcpPkgOutsegs,tcpPkgRetranssegs,tcpTW,udpIgnoreMulti_Diff,udpInDatagrams,udpNoPorts,udpOutDatagrams,user
2022-04-13 04:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,22.3,16.57,280.0,0.0,0.0,0.0,0.0,0.03333333333333333,25.73333333333333,180149.96666666667,17.48986150934361,165409.86666666667,15.707705682671321,414969589.9,0.03333333333333333,345559.83333333326,72699465728.0,82.34,5689954.0,44353006813184.0,27805873659904.0,62.69,315082829824.0,33.76,60616164.0,99.28,44353006813184.0,27839967195136.0,62.77,55.291970802919714,6.126173096976017,53520.0,29.06,26.95,41906176.0,27430821888.0,135168.0,27.44587955070161,301228032.0,21510762496.0,516677632.00000006,81.92896627533034,18.071033724669658,59.521947976296865,0.026068821689259645,0.011565856492876662,2.346193952033368,114952.0,22908.0,2.0,102325.0,340072.0,757.0,0.0,7256.0,29.0,14.702815432742439,0.0,0.36666666666666653,0.0,0.0,2.533333333333333,61007.3,169556.4,26.66666666666667,1644.2333333333331,9.0,83.63333333333334,0.1,84.53333333333333,32.090719499478624
2022-04-13 04:50:30,0.5,3.0,122.0,51.0,60.0,0.0,151552.0,0.0,12.0,296.0,1.0,0.2,0.5,2.0,3436544.0,299.0,272.0,6712.0,10.54,27661.0,7570.0,93534.0,68202.0,119.0,123482112.0,87.0,2309.0,241176.0,3.3,44.9,20.12,17.0,310571008.0,3426.0,2534.0,606584.0,0.03333333333333333,25.73333333333333,180149.96666666667,17.48986150934361,165409.86666666667,15.707705682671321,414969589.9,0.03333333333333333,345559.83333333326,72699465728.0,82.34,5689954.0,44353006813184.0,27805873659904.0,62.69,315082829824.0,33.76,60616164.0,99.28,44353006813184.0,27839967195136.0,62.77,48.799380325329196,2.4270591272915056,53760.0,27.51,26.79,9588736.0,27181686784.0,0.0,27.32363696250865,299958272.0,21404053504.0,516321280.0,80.91097842585783,19.08902157414217,59.77723558887306,0.025819777949909632,0.010959876185548074,2.659437128840692,119164.0,23428.0,1.0,106528.0,340787.1,765.0,4.0,7264.0,37.0,10.947585850761683,0.0,0.43333333333333335,0.0,0.0,0.9666666666666668,60809.2,167295.56666666668,25.0,1576.0666666666666,7.0,79.13333333333334,0.13333333333333333,79.5,32.739478440485414
2022-04-13 04:51:00,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.5,2.0,0.0,0.0,0.0,0.0,9.41,38171.0,13598.0,130453.0,96431.0,0.0,214126592.0,164.0,3866.0,418216.0,0.97,15.12,9.41,156.0,508362752.0,6376.0,4827.0,992896.0,0.03333333333333333,25.73333333333333,180149.96666666667,17.48986150934361,165409.86666666667,15.707705682671321,414969589.9,0.03333333333333333,345559.83333333326,72698605568.0,82.34,5689954.0,44353006813184.0,27822755192832.0,62.73,315082829824.0,33.76,60616164.0,99.28,44353006813184.0,27839967195136.0,62.77,56.96037539103232,0.2867570385818561,54160.0,26.98,26.71,21143552.0,27010256896.0,0.0,29.11460280765747,300191744.0,21544337408.0,516780032.0,77.51215428258828,22.487845717411727,57.83346803338935,0.05213764337851929,0.016566832087223586,2.632950990615224,116171.0,23970.0,1.0,103528.0,329025.8,755.0,0.0,7254.0,13.0,12.825860271115744,0.0,0.43333333333333335,0.0,0.0,2.0,62484.76666666668,170712.1,38.63333333333333,1829.833333333333,4.0,83.06666666666666,0.16666666666666666,83.43333333333334,41.162669447340974
2022-04-13 04:51:30,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.5,2.0,0.0,0.0,0.0,0.0,9.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,15.12,9.41,156.0,0.0,0.0,0.0,0.0,0.03333333333333333,25.73333333333333,180149.96666666667,17.48986150934361,165409.86666666667,15.707705682671321,414969589.9,0.03333333333333333,345559.83333333326,72698605568.0,82.34,5689954.0,44353006813184.0,27822755192832.0,62.73,315082829824.0,33.76,60616164.0,99.28,44353006813184.0,27839967195136.0,62.77,51.725039205436495,7.658128593831678,54000.0,33.04,28.11,54882304.0,28315529216.0,0.0,26.821436522725676,300400640.0,21550489600.000004,533250048.0,83.15115966214653,16.84884033785347,60.16996605558588,0.026136957658128592,0.007809241325080047,2.352326189231573,119180.0,24137.0,3.0,106531.0,345081.8,757.0,0.0,7256.0,30.0,12.937794040773651,0.0,0.2333333333333333,0.0,0.0,0.3333333333333333,62133.43333333333,171777.46666666667,18.266666666666666,1643.9,13.0,80.53333333333333,0.06666666666666668,80.6,28.75065342394145
2022-04-13 04:52:00,0.0,4.0,105.0,21.0,71.0,0.0,200704.0,0.0,12.0,392.0,0.0,0.0,0.0,0.0,4018176.0,314.0,263.0,7848.0,12.0,73834.0,11069.0,258887.0,187844.0,0.0,161406976.0,115.0,2998.0,315248.0,3.96,9.51,12.0,24.0,302530560.0,3752.0,2748.0,590880.0,0.03333333333333333,25.73333333333333,180149.96666666667,17.48986150934361,165409.86666666667,15.707705682671321,414969589.9,0.03333333333333333,345559.83333333326,72697745408.0,82.34,5689954.0,44353006813184.0,27839967195136.0,62.77,315082829824.0,33.76,60616164.0,99.28,44353006813184.0,27839967195136.0,62.77,52.51761022697626,5.1134881294025565,54480.0,32.95,28.43,29786112.0,26746531840.0,0.0,28.082436434281117,300584960.0,21658918912.0,532701184.0,80.48857217890884,19.511427821091157,58.83615491828028,0.026089225150013044,0.011378670950835838,2.6089225150013045,121640.0,23566.0,2.0,108985.0,325896.9,757.0,0.0,7256.0,28.0,14.062092355857029,0.0,0.43333333333333335,0.0,0.0,1.3666666666666667,61156.66666666666,167633.96666666667,26.03333333333333,1664.5,9.0,83.16666666666667,0.13333333333333333,86.1,30.707018001565352
2022-04-13 04:52:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.29,47419.0,17303.0,186013.0,143874.0,0.0,325656576.0,240.0,6065.0,636048.0,2.58,8.0,8.29,31.0,555814912.0,6794.0,4985.0,1085576.0,0.03333333333333333,25.73333333333333,180149.96666666667,17.48986150934361,165409.86666666667,15.707705682671321,414969589.9,0.03333333333333333,345559.83333333326,72697745408.0,82.34,5689954.0,44353006813184.0,27839967195136.0,62.77,314701598720.0,33.72,60616164.0,99.28,44353006813184.0,27857123381248.0,62.81,51.09717868338559,0.8098223615464994,54160.0,35.81,29.61,26951680.0,27642208256.0,0.0,27.026566917462922,300765184.0,21661929472.0,533155840.0,83.4999422430923,16.500057756907673,60.12002842425333,0.02612330198537095,0.011850536627937046,2.5339602925809817,122802.0,23791.0,3.0,110149.0,343983.7,763.0,0.0,7262.0,21.0,15.438871473354233,0.03333333333333333,0.3333333333333333,0.0,0.0,2.033333333333333,61523.6,168564.43333333332,27.266666666666666,1656.7666666666669,18.0,78.63333333333334,0.1,79.13333333333334,32.288401253918494
2022-04-13 04:53:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.58,8.0,8.29,31.0,0.0,0.0,0.0,0.0,0.03333333333333333,26.66666666666667,180138.6,17.53244499466382,163932.53333333333,15.573680725336695,413826571.5,0.03333333333333333,344071.13333333336,72696881152.0,82.34,5689954.0,44353006813184.0,27857123381248.0,62.81,314701598720.0,33.72,60616164.0,99.28,44353006813184.0,27857123381248.0,62.81,52.1978021978022,3.6368393511250656,54000.0,32.66,29.37,27484160.0,26780065792.0,3899392.0,27.650070603161435,301010944.0,21708734464.0,533630976.0,81.98146605270696,18.01853394729304,59.27212562788017,0.026164311878597597,0.013817246569268258,2.7210884353741496,116172.0,23758.0,0.0,103528.0,343356.0,758.0,0.0,7266.0,16.0,15.044479330193615,0.0,0.4,0.0,0.0,1.8333333333333333,61165.8,170670.06666666668,32.03333333333333,1896.4,6.0,82.43333333333334,0.16666666666666666,83.0,30.76923076923077
2022-04-13 04:53:30,0.23,170.0,515.0,600.0,625.0,0.0,15785984.0,0.0,255.0,30832.0,1.0,1.3,0.23,13.0,21803008.0,551.0,451.0,42584.0,13.9,40537.0,9055.0,114142.0,75895.0,279.0,108027904.0,63.0,2228.0,210992.0,1.93,58.86,55.62,26.0,303566848.0,3147.0,2530.0,592904.0,0.03333333333333333,26.66666666666667,180138.6,17.53244499466382,163932.53333333333,15.573680725336695,413826571.5,0.03333333333333333,344071.13333333336,72696881152.0,82.34,5689954.0,44353006813184.0,27857123381248.0,62.81,314701598720.0,33.72,60616164.0,99.28,44353006813184.0,27857123381248.0,62.81,50.18050541516246,3.378029912325941,54160.0,34.0,30.02,3551232.0,27349446656.0,540672.0,26.4223075492011,301260800.0,21823053824.0,533553152.0,82.48616248204259,17.51383751795739,60.71811497183497,1.0572460030943784,0.012488271851583565,2.269210933470861,117137.0,23606.0,2.0,104502.0,334973.4,759.0,6.0,7258.0,35.0,10.624033006704488,0.0,0.5,0.0,0.0,1.6,59553.13333333332,165191.06666666668,28.066666666666666,1626.2,8.0,76.33333333333333,0.16666666666666666,77.1,32.851985559566785
2022-04-13 04:54:00,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.3,0.23,13.0,0.0,0.0,0.0,0.0,5.77,37683.0,6198.0,86669.0,50869.0,0.0,97230848.0,53.0,1590.0,189904.0,0.89,5.4,5.77,61.0,253075456.0,3557.0,2340.0,494288.0,0.03333333333333333,26.66666666666667,180138.6,17.53244499466382,163932.53333333333,15.573680725336695,413826571.5,0.03333333333333333,344071.13333333336,72696037376.0,82.34,5689954.0,44353006813184.0,27874147053568.0,62.85,314701598720.0,33.72,60616164.0,99.28,44353006813184.0,27857123381248.0,62.81,52.974947807933205,0.9394572025052192,54160.0,29.85,29.32,23433216.0,26378440704.0,110592.0,26.72236031095889,301502464.0,21772828672.000004,532946944.00000006,83.81707475388941,16.18292524611059,60.25015172817632,0.05219206680584551,0.010794200628112805,2.55741127348643,119544.0,23422.0,1.0,106911.0,336898.4,765.0,0.0,7269.0,56.0,14.170146137787054,0.0,0.2,0.0,0.0,1.1333333333333333,61188.7,169799.53333333333,24.93333333333333,1615.2666666666669,9.0,80.56666666666666,0.06666666666666668,80.83333333333333,35.25574112734864
2022-04-13 04:54:30,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.3,0.23,13.0,0.0,0.0,0.0,0.0,18.51,91404.0,17657.0,298281.0,211639.0,0.0,238010368.0,136.0,4795.0,464864.0,2.15,17.6,18.51,82.0,541720576.0,6738.0,5144.0,1058048.0,0.03333333333333333,26.566666666666666,176353.43333333332,17.18015795199511,161651.03333333333,15.356902746669949,406713258.7333333,0.03333333333333333,338004.46666666673,72696037376.0,82.34,5689954.0,44353006813184.0,27874147053568.0,62.85,314701598720.0,33.72,60616164.0,99.28,44353006813184.0,27857123381248.0,62.81,48.52518924562778,5.090054815974941,54160.0,31.51,29.6,0.0,26692685824.0,16384.0,28.96817520563361,301694976.0,21820076032.000004,532680704.0,77.86975835201244,22.130241647987567,58.001713994675036,0.026102845210127904,0.012999283870912143,2.531975985382407,116139.0,23800.0,5.0,103507.0,331371.1,771.0,1.0,7269.0,32.0,11.563560428086662,0.0,0.4,0.0,0.0,2.1666666666666665,60179.0,168038.7,29.66666666666667,1800.2,12.0,81.13333333333334,0.13333333333333333,81.26666666666667,29.313495170973635
